Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (14867980),James Harden,14867980,CPT,18600,HOU@DAL 07/31/2020 09:00PM ET,HOU,59.24
PG/SF,Luka Doncic (14867981),Luka Doncic,14867981,CPT,18000,HOU@DAL 07/31/2020 09:00PM ET,DAL,56.98
PG,Russell Westbrook (14867982),Russell Westbrook,14867982,CPT,16200,HOU@DAL 07/31/2020 09:00PM ET,HOU,51.26
C,Kristaps Porzingis (14867983),Kristaps Porzingis,14867983,CPT,15300,HOU@DAL 07/31/2020 09:00PM ET,DAL,40.35
PG/SG,James Harden (14867944),James Harden,14867944,UTIL,12400,HOU@DAL 07/31/2020 09:00PM ET,HOU,59.24
PG/SF,Luka Doncic (14867945),Luka Doncic,14867945,UTIL,12000,HOU@DAL 07/31/2020 09:00PM ET,DAL,56.98
SG/SF,Tim Hardaway Jr. (14867984),Tim Hardaway Jr.,14867984,CPT,11700,HOU@DAL 07/31/2020 09:00PM ET,DAL,25.10
SF/PF,Robert Covington (14867985),Robert Covington,14867985,CPT,11100,HOU@DAL 07/31/2020 09:00PM ET,HOU,28.81
PG,Russell Westbrook (14867946),Russell Westbrook,14867946,UTIL,10800,HOU@DAL 07/31/2020 09:00PM ET,HOU,51.26
C,Kristaps Porzingis (14867947),Kristaps Porzingis,14867947,UTIL,10200,HOU@DAL 07/31/2020 09:00PM ET,DAL,40.35
SG,Seth Curry (14867986),Seth Curry,14867986,CPT,9300,HOU@DAL 07/31/2020 09:00PM ET,DAL,20.68
C,Boban Marjanovic (14867987),Boban Marjanovic,14867987,CPT,8400,HOU@DAL 07/31/2020 09:00PM ET,DAL,13.74
PF/C,Maxi Kleber (14867988),Maxi Kleber,14867988,CPT,8100,HOU@DAL 07/31/2020 09:00PM ET,DAL,21.09
SG/SF,Tim Hardaway Jr. (14867948),Tim Hardaway Jr.,14867948,UTIL,7800,HOU@DAL 07/31/2020 09:00PM ET,DAL,25.10
PG/SG,Delon Wright (14867989),Delon Wright,14867989,CPT,7800,HOU@DAL 07/31/2020 09:00PM ET,DAL,20.18
C,P.J. Tucker (14867990),P.J. Tucker,14867990,CPT,7500,HOU@DAL 07/31/2020 09:00PM ET,HOU,21.62
SF/PF,Robert Covington (14867949),Robert Covington,14867949,UTIL,7400,HOU@DAL 07/31/2020 09:00PM ET,HOU,28.81
SF/PF,Dorian Finney-Smith (14867991),Dorian Finney-Smith,14867991,CPT,6900,HOU@DAL 07/31/2020 09:00PM ET,DAL,21.36
SF/PF,Danuel House Jr. (14867992),Danuel House Jr.,14867992,CPT,6600,HOU@DAL 07/31/2020 09:00PM ET,HOU,21.46
