Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (16006156),Christian McCaffrey,16006156,RB/FLEX,9200,CAR@WAS 12/27/2020 01:00PM ET,CAR,30.13
WR,Tyreek Hill (16006352),Tyreek Hill,16006352,WR/FLEX,9000,ATL@KC 12/27/2020 01:00PM ET,KC,23.39
QB,Patrick Mahomes (16006097),Patrick Mahomes,16006097,QB,8500,ATL@KC 12/27/2020 01:00PM ET,KC,27.80
WR,Calvin Ridley (16006354),Calvin Ridley,16006354,WR/FLEX,8500,ATL@KC 12/27/2020 01:00PM ET,ATL,21.12
TE,Travis Kelce (16006636),Travis Kelce,16006636,TE/FLEX,8500,ATL@KC 12/27/2020 01:00PM ET,KC,22.07
QB,Lamar Jackson (16006098),Lamar Jackson,16006098,QB,8000,NYG@BAL 12/27/2020 01:00PM ET,BAL,23.40
RB,Nick Chubb (16006158),Nick Chubb,16006158,RB/FLEX,7800,CLE@NYJ 12/27/2020 01:00PM ET,CLE,18.93
WR,DK Metcalf (16006356),DK Metcalf,16006356,WR/FLEX,7800,LAR@SEA 12/27/2020 04:25PM ET,SEA,19.31
RB,David Montgomery (16006160),David Montgomery,16006160,RB/FLEX,7700,CHI@JAX 12/27/2020 01:00PM ET,CHI,17.42
WR,Allen Robinson II (16006358),Allen Robinson II,16006358,WR/FLEX,7700,CHI@JAX 12/27/2020 01:00PM ET,CHI,17.56
RB,Austin Ekeler (16006162),Austin Ekeler,16006162,RB/FLEX,7600,DEN@LAC 12/27/2020 04:05PM ET,LAC,16.55
QB,Deshaun Watson (16006099),Deshaun Watson,16006099,QB,7600,CIN@HOU 12/27/2020 01:00PM ET,HOU,24.91
WR,Keenan Allen (16006360),Keenan Allen,16006360,WR/FLEX,7500,DEN@LAC 12/27/2020 04:05PM ET,LAC,18.51
QB,Justin Herbert (16006100),Justin Herbert,16006100,QB,7400,DEN@LAC 12/27/2020 04:05PM ET,LAC,24.24
RB,Jonathan Taylor (16006164),Jonathan Taylor,16006164,RB/FLEX,7300,IND@PIT 12/27/2020 01:00PM ET,IND,15.54
QB,Russell Wilson (16006101),Russell Wilson,16006101,QB,7300,LAR@SEA 12/27/2020 04:25PM ET,SEA,25.27
WR,Robert Woods (16006362),Robert Woods,16006362,WR/FLEX,7000,LAR@SEA 12/27/2020 04:25PM ET,LAR,16.83
QB,Jalen Hurts (16006102),Jalen Hurts,16006102,QB,7000,PHI@DAL 12/27/2020 04:25PM ET,PHI,6.88
RB,Miles Sanders (16006166),Miles Sanders,16006166,RB/FLEX,7000,PHI@DAL 12/27/2020 04:25PM ET,PHI,14.54
WR,Jarvis Landry (16006364),Jarvis Landry,16006364,WR/FLEX,6900,CLE@NYJ 12/27/2020 01:00PM ET,CLE,12.47
WR,Julio Jones (16006366),Julio Jones,16006366,WR/FLEX,6800,ATL@KC 12/27/2020 01:00PM ET,ATL,17.23
RB,James Robinson (16006168),James Robinson,16006168,RB/FLEX,6800,CHI@JAX 12/27/2020 01:00PM ET,JAX,18.81
WR,Terry McLaurin (16006368),Terry McLaurin,16006368,WR/FLEX,6700,CAR@WAS 12/27/2020 01:00PM ET,WAS,15.49
RB,Ezekiel Elliott (16006170),Ezekiel Elliott,16006170,RB/FLEX,6700,PHI@DAL 12/27/2020 04:25PM ET,DAL,15.28
RB,Antonio Gibson (16006172),Antonio Gibson,16006172,RB/FLEX,6600,CAR@WAS 12/27/2020 01:00PM ET,WAS,15.93
WR,Cooper Kupp (16006370),Cooper Kupp,16006370,WR/FLEX,6600,LAR@SEA 12/27/2020 04:25PM ET,LAR,14.58
RB,Mike Davis (16006174),Mike Davis,16006174,RB/FLEX,6500,CAR@WAS 12/27/2020 01:00PM ET,CAR,14.19
WR,Tyler Lockett (16006372),Tyler Lockett,16006372,WR/FLEX,6500,LAR@SEA 12/27/2020 04:25PM ET,SEA,16.5
RB,Tony Pollard (16006176),Tony Pollard,16006176,RB/FLEX,6500,PHI@DAL 12/27/2020 04:25PM ET,DAL,7.96
RB,J.D. McKissic (16006180),J.D. McKissic,16006180,RB/FLEX,6400,CAR@WAS 12/27/2020 01:00PM ET,WAS,11.51
QB,Ben Roethlisberger (16006103),Ben Roethlisberger,16006103,QB,6400,IND@PIT 12/27/2020 01:00PM ET,PIT,18.91
RB,Chris Carson (16006178),Chris Carson,16006178,RB/FLEX,6400,LAR@SEA 12/27/2020 04:25PM ET,SEA,16.66
WR,Diontae Johnson (16006374),Diontae Johnson,16006374,WR/FLEX,6300,IND@PIT 12/27/2020 01:00PM ET,PIT,14.97
RB,Cam Akers (16006182),Cam Akers,16006182,RB/FLEX,6300,LAR@SEA 12/27/2020 04:25PM ET,LAR,8.56
RB,J.K. Dobbins (16006184),J.K. Dobbins,16006184,RB/FLEX,6200,NYG@BAL 12/27/2020 01:00PM ET,BAL,9.98
WR,Brandin Cooks (16006376),Brandin Cooks,16006376,WR/FLEX,6200,CIN@HOU 12/27/2020 01:00PM ET,HOU,12.95
QB,Baker Mayfield (16006104),Baker Mayfield,16006104,QB,6100,CLE@NYJ 12/27/2020 01:00PM ET,CLE,17.17
RB,David Johnson (16006186),David Johnson,16006186,RB/FLEX,6100,CIN@HOU 12/27/2020 01:00PM ET,HOU,13.36
WR,JuJu Smith-Schuster (16006378),JuJu Smith-Schuster,16006378,WR/FLEX,6000,IND@PIT 12/27/2020 01:00PM ET,PIT,13.71
RB,Clyde Edwards-Helaire (16006188),Clyde Edwards-Helaire,16006188,RB/FLEX,6000,ATL@KC 12/27/2020 01:00PM ET,KC,14
WR,Chase Claypool (16006380),Chase Claypool,16006380,WR/FLEX,5900,IND@PIT 12/27/2020 01:00PM ET,PIT,13.46
RB,Kareem Hunt (16006190),Kareem Hunt,16006190,RB/FLEX,5900,CLE@NYJ 12/27/2020 01:00PM ET,CLE,14.44
QB,Jared Goff (16006105),Jared Goff,16006105,QB,5900,LAR@SEA 12/27/2020 04:25PM ET,LAR,18.88
WR,DJ Moore (16006382),DJ Moore,16006382,WR/FLEX,5800,CAR@WAS 12/27/2020 01:00PM ET,CAR,15.13
RB,James Conner (16006192),James Conner,16006192,RB/FLEX,5800,IND@PIT 12/27/2020 01:00PM ET,PIT,13.16
QB,Matt Ryan (16006106),Matt Ryan,16006106,QB,5800,ATL@KC 12/27/2020 01:00PM ET,ATL,18.92
RB,Le'Veon Bell (16006194),Le'Veon Bell,16006194,RB/FLEX,5800,ATL@KC 12/27/2020 01:00PM ET,KC,6.97
RB,Wayne Gallman Jr. (16006196),Wayne Gallman Jr.,16006196,RB/FLEX,5700,NYG@BAL 12/27/2020 01:00PM ET,NYG,10.48
WR,Marquise Brown (16006386),Marquise Brown,16006386,WR/FLEX,5700,NYG@BAL 12/27/2020 01:00PM ET,BAL,10.89
TE,Mark Andrews (16006638),Mark Andrews,16006638,TE/FLEX,5700,NYG@BAL 12/27/2020 01:00PM ET,BAL,12.48
QB,Mitchell Trubisky (16006107),Mitchell Trubisky,16006107,QB,5700,CHI@JAX 12/27/2020 01:00PM ET,CHI,15.99
WR,Amari Cooper (16006384),Amari Cooper,16006384,WR/FLEX,5700,PHI@DAL 12/27/2020 04:25PM ET,DAL,15.69
QB,Philip Rivers (16006108),Philip Rivers,16006108,QB,5600,IND@PIT 12/27/2020 01:00PM ET,IND,16.91
RB,Melvin Gordon III (16006198),Melvin Gordon III,16006198,RB/FLEX,5600,DEN@LAC 12/27/2020 04:05PM ET,DEN,13.81
WR,Robby Anderson (16006388),Robby Anderson,16006388,WR/FLEX,5500,CAR@WAS 12/27/2020 01:00PM ET,CAR,15.01
WR,T.Y. Hilton (16006390),T.Y. Hilton,16006390,WR/FLEX,5500,IND@PIT 12/27/2020 01:00PM ET,IND,11.12
RB,Joe Mixon (16006200),Joe Mixon,16006200,RB/FLEX,5500,CIN@HOU 12/27/2020 01:00PM ET,CIN,17.27
QB,Andy Dalton (16006109),Andy Dalton,16006109,QB,5500,PHI@DAL 12/27/2020 04:25PM ET,DAL,11.64
WR,Keke Coutee (16006392),Keke Coutee,16006392,WR/FLEX,5400,CIN@HOU 12/27/2020 01:00PM ET,HOU,11.27
QB,Carson Wentz (16006110),Carson Wentz,16006110,QB,5400,PHI@DAL 12/27/2020 04:25PM ET,PHI,18.37
QB,Teddy Bridgewater (16006112),Teddy Bridgewater,16006112,QB,5300,CAR@WAS 12/27/2020 01:00PM ET,CAR,19.07
RB,Benny Snell Jr. (16006204),Benny Snell Jr.,16006204,RB/FLEX,5300,IND@PIT 12/27/2020 01:00PM ET,PIT,5.99
QB,Tyrod Taylor (16006111),Tyrod Taylor,16006111,QB,5300,DEN@LAC 12/27/2020 04:05PM ET,LAC,4.51
