Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Deshaun Watson (15287210),Deshaun Watson,15287210,QB,8300,HOU@NE 09/05/2020 02:00PM ET,HOU,21.53
WR,DJ Chark Jr. (15287268),DJ Chark Jr.,15287268,WR/FLEX,7700,MIA@JAX 09/05/2020 12:00PM ET,JAX,18.2
WR,Will Fuller V (15287270),Will Fuller V,15287270,WR/FLEX,7000,HOU@NE 09/05/2020 02:00PM ET,HOU,17.93
RB,Sony Michel (15287224),Sony Michel,15287224,RB/FLEX,6800,HOU@NE 09/05/2020 02:00PM ET,NE,16.23
QB,Ryan Fitzpatrick (15287211),Ryan Fitzpatrick,15287211,QB,6700,MIA@JAX 09/05/2020 12:00PM ET,MIA,18.62
WR,DeVante Parker (15287272),DeVante Parker,15287272,WR/FLEX,6600,MIA@JAX 09/05/2020 12:00PM ET,MIA,13.7
RB,Leonard Fournette (15287226),Leonard Fournette,15287226,RB/FLEX,6300,MIA@JAX 09/05/2020 12:00PM ET,JAX,12.87
QB,Cam Newton (15287212),Cam Newton,15287212,QB,6200,HOU@NE 09/05/2020 02:00PM ET,NE,19.01
WR,Julian Edelman (15287274),Julian Edelman,15287274,WR/FLEX,6000,HOU@NE 09/05/2020 02:00PM ET,NE,11.13
RB,David Johnson (15287228),David Johnson,15287228,RB/FLEX,5900,HOU@NE 09/05/2020 02:00PM ET,HOU,12.4
QB,Gardner Minshew II (15287213),Gardner Minshew II,15287213,QB,5800,MIA@JAX 09/05/2020 12:00PM ET,JAX,16.45
WR,Brandin Cooks (15287276),Brandin Cooks,15287276,WR/FLEX,5500,HOU@NE 09/05/2020 02:00PM ET,HOU,6.07
TE,Darren Fells (15287338),Darren Fells,15287338,TE/FLEX,5300,HOU@NE 09/05/2020 02:00PM ET,HOU,12.83
RB,Jordan Howard (15287230),Jordan Howard,15287230,RB/FLEX,5100,MIA@JAX 09/05/2020 12:00PM ET,MIA,9.6
QB,Brian Hoyer (15287215),Brian Hoyer,15287215,QB,5000,HOU@NE 09/05/2020 02:00PM ET,NE,0
QB,AJ McCarron (15287217),AJ McCarron,15287217,QB,5000,HOU@NE 09/05/2020 02:00PM ET,HOU,0
QB,Jarrett Stidham (15287219),Jarrett Stidham,15287219,QB,5000,HOU@NE 09/05/2020 02:00PM ET,NE,0
QB,Alex McGough (15287221),Alex McGough,15287221,QB,5000,HOU@NE 09/05/2020 02:00PM ET,HOU,0
QB,Brian Lewerke (15287223),Brian Lewerke,15287223,QB,5000,HOU@NE 09/05/2020 02:00PM ET,NE,0
QB,Josh Rosen (15287214),Josh Rosen,15287214,QB,5000,MIA@JAX 09/05/2020 12:00PM ET,MIA,0
QB,Josh Dobbs (15287216),Josh Dobbs,15287216,QB,5000,MIA@JAX 09/05/2020 12:00PM ET,JAX,0
QB,Tua Tagovailoa (15287218),Tua Tagovailoa,15287218,QB,5000,MIA@JAX 09/05/2020 12:00PM ET,MIA,0
QB,Jake Luton (15287220),Jake Luton,15287220,QB,5000,MIA@JAX 09/05/2020 12:00PM ET,JAX,0
QB,Mike Glennon (15287222),Mike Glennon,15287222,QB,5000,MIA@JAX 09/05/2020 12:00PM ET,JAX,0
TE,Mike Gesicki (15287340),Mike Gesicki,15287340,TE/FLEX,5000,MIA@JAX 09/05/2020 12:00PM ET,MIA,10.63
TE,Tyler Eifert (15287342),Tyler Eifert,15287342,TE/FLEX,4700,MIA@JAX 09/05/2020 12:00PM ET,JAX,10.27
TE,Devin Asiasi (15287344),Devin Asiasi,15287344,TE/FLEX,4600,HOU@NE 09/05/2020 02:00PM ET,NE,13.4
WR,Dede Westbrook (15287278),Dede Westbrook,15287278,WR/FLEX,4500,MIA@JAX 09/05/2020 12:00PM ET,JAX,8.13
RB,James White (15287232),James White,15287232,RB/FLEX,4400,HOU@NE 09/05/2020 02:00PM ET,NE,8.97
RB,Matt Breida (15287234),Matt Breida,15287234,RB/FLEX,4300,MIA@JAX 09/05/2020 12:00PM ET,MIA,10.1
WR,Chris Conley (15287280),Chris Conley,15287280,WR/FLEX,4200,MIA@JAX 09/05/2020 12:00PM ET,JAX,11.03
WR,Mohamed Sanu (15287282),Mohamed Sanu,15287282,WR/FLEX,4000,HOU@NE 09/05/2020 02:00PM ET,NE,7.1
RB,Chris Thompson (15287236),Chris Thompson,15287236,RB/FLEX,3800,MIA@JAX 09/05/2020 12:00PM ET,JAX,6.63
WR,N'Keal Harry (15287284),N'Keal Harry,15287284,WR/FLEX,3700,HOU@NE 09/05/2020 02:00PM ET,NE,8.73
WR,Preston Williams (15287286),Preston Williams,15287286,WR/FLEX,3500,MIA@JAX 09/05/2020 12:00PM ET,MIA,10.25
RB,Duke Johnson (15287238),Duke Johnson,15287238,RB/FLEX,3400,HOU@NE 09/05/2020 02:00PM ET,HOU,0
WR,Randall Cobb (15287288),Randall Cobb,15287288,WR/FLEX,3300,HOU@NE 09/05/2020 02:00PM ET,HOU,7.27
RB,Jakob Johnson (15287240),Jakob Johnson,15287240,RB/FLEX,3200,HOU@NE 09/05/2020 02:00PM ET,NE,6.6
WR,Kenny Stills (15287290),Kenny Stills,15287290,WR/FLEX,3200,HOU@NE 09/05/2020 02:00PM ET,HOU,3.3
DST,Patriots  (15287378),Patriots ,15287378,DST,3200,HOU@NE 09/05/2020 02:00PM ET,NE,4.33
RB,Lamar Miller (15287242),Lamar Miller,15287242,RB/FLEX,3100,HOU@NE 09/05/2020 02:00PM ET,NE,0
WR,Jakeem Grant (15287292),Jakeem Grant,15287292,WR/FLEX,3100,MIA@JAX 09/05/2020 12:00PM ET,MIA,3.2
RB,Rex Burkhead (15287244),Rex Burkhead,15287244,RB/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,NE,0.65
RB,Karan Higdon Jr. (15287248),Karan Higdon Jr.,15287248,RB/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,HOU,0
RB,Buddy Howell (15287256),Buddy Howell,15287256,RB/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,HOU,0
RB,Damien Harris (15287258),Damien Harris,15287258,RB/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,NE,0
RB,Cullen Gillaspia (15287260),Cullen Gillaspia,15287260,RB/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,HOU,0
RB,J.J. Taylor (15287264),J.J. Taylor,15287264,RB/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,NE,0
WR,Damiere Byrd (15287294),Damiere Byrd,15287294,WR/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,NE,0
WR,Keke Coutee (15287300),Keke Coutee,15287300,WR/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,HOU,0
WR,Jakobi Meyers (15287306),Jakobi Meyers,15287306,WR/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,NE,0
WR,DeAndre Carter (15287308),DeAndre Carter,15287308,WR/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,HOU,0
WR,Matthew Slater (15287314),Matthew Slater,15287314,WR/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,NE,0
WR,Chad Hansen (15287318),Chad Hansen,15287318,WR/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,HOU,0
WR,Jeff Thomas (15287322),Jeff Thomas,15287322,WR/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,NE,0
WR,Isaiah Coulter (15287326),Isaiah Coulter,15287326,WR/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,HOU,0
WR,Gunner Olszewski (15287330),Gunner Olszewski,15287330,WR/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,NE,0
WR,Steven Mitchell Jr. (15287332),Steven Mitchell Jr.,15287332,WR/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,HOU,0
WR,Isaac Whitney (15287336),Isaac Whitney,15287336,WR/FLEX,3000,HOU@NE 09/05/2020 02:00PM ET,HOU,0
RB,Ryquell Armstead (15287246),Ryquell Armstead,15287246,RB/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,JAX,0
RB,Kalen Ballage (15287250),Kalen Ballage,15287250,RB/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,MIA,0
RB,Patrick Laird (15287252),Patrick Laird,15287252,RB/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,MIA,0
RB,Devine Ozigbo (15287254),Devine Ozigbo,15287254,RB/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,JAX,0
RB,Myles Gaskin (15287262),Myles Gaskin,15287262,RB/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,MIA,0
RB,Chandler Cox (15287266),Chandler Cox,15287266,RB/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,MIA,0
